ID,Cost
1,718.9158000000011
2,506.08199600000006
3,448.17648199999974
4,465.7304540000002
5,748.0991999999985
6,559.3050909999994
7,468.32035
8,511.7497470000001
9,601.1262630000002
10,673.230704000001
11,605.2255369999991
12,642.0870999999987
13,637.6358470000009
14,441.4810360000002
15,669.902331999999
16,603.0022640000002
17,480.01463000000064
18,326.0104810000004
19,553.3486439999994
20,565.8525280000008
21,759.6051999999996
22,435.72071399999965
23,581.1183749999999
24,524.4021630000008
25,544.8279279999997
26,473.21249199999954
27,473.7333999999994
28,598.0159819999999
29,382.05150000000066
30,596.8920549999999
31,512.0771450000002
32,333.6216999999999
33,325.45453200000003
34,452.96559299999944
35,461.0480350000003
36,642.0870999999987
37,430.9540919999997
38,447.88674000000066
39,370.0978120000003
40,665.4024400000008
41,603.5744259999996
42,380.4181710000002
43,488.4867070000005
44,616.7974350000006
45,390.9424999999994
46,339.54676699999976
47,456.09261000000004
48,391.83683
49,544.367165
50,365.36361600000004
51,636.5908929999997
52,715.150200000002
53,648.0477310000006
54,598.9929460000001
55,292.67079999999993
56,630.0628069999993
57,415.2358500000001
58,634.5757740000006
59,413.6229180000005
60,568.820553
61,340.7789550000003
62,541.6569789999998
63,732.3087839999994
64,417.8220850000001
65,557.757011
66,458.0067900000006
67,604.7684350000003
68,480.5836539999995
69,518.0111030000006
70,655.2729760000001
71,432.0921400000006
72,594.5380319999995
73,489.4024800000008
74,396.22480000000064
75,734.8071550000008
76,567.2829329999994
77,448.2894499999999
78,352.0312999999996
79,578.6843330000007
80,497.4022879999996
81,329.6050600000003
82,769.7644750000009
83,566.7029260000008
84,585.9864590000001
85,399.82304
86,669.7093450000009
87,545.8174439999998
88,426.0880999999996
89,566.0277329999996
90,452.6554540000007
91,554.5473599999999
92,494.1403370000004
93,548.7948829999996
94,458.10929799999997
95,621.1383350000008
96,382.05150000000066
97,456.5120560000008
98,337.76385999999997
99,718.9158000000011
100,325.6898819999996
101,312.4150960000003
102,656.8628959999999
103,655.8869780000007
104,520.4085350000008
